Family Name
Abreu
Afonso
Aguiar
Alegre
Almeida
Almeida
Alvarenga
Alves
Alves
Amaral
Andrade
Anjos
Antunes
Araújo
Azevedo
Bandeira
Baptista
Barata
Barbosa
Barreto
Barros
Batista
Belo
Bento
Bernardes
Bessa
Bivar
Borges
Branco
Brito
Cabral
Caeiro
Caldeira
Camacho
Campos
Canelas
Cardoso
Carmo
Carneiro
Carreira
Carvalheiro
Carvalho
Casanova
Castanheira
Castelo
Castro
Celestino
Cerqueira
Chaves
Clemente
Coelho
Colaço
Conceição
Cordeiro
Correia
Corte-Real
Costa
Coutinho
Couto
Cruz
Cunha
Dantas
Dias
Dinis
Diniz
Domingues
Dourado
Duarte
Escobar
Espada
Esteves
Estevão
Evangelista
Falcão
Faria
Fartaria
Faustino
Feio
Felgueiras
Fernandes
Ferraz
Ferreira
Festas
Figueiredo
Filipe
Fiúza
Fonseca
Fontes
Frade
Fragoso
Franco
Freitas
Frutuoso
Furtado
Gaia
Galvão
Gama
Garrido
Gaspar
Geraldes
Gil
Godinho
Gomes
Gonçalves
Gouveia
Graça
Guedes
Guerra
Guerreiro
Henriques
Hipólito
Infante
Jesus
Jordão
Lança
Leal
Leitão
Lemos
Lima
Lino
Lobo
Lopes
Loureiro
Lourenço
Lousada
Luz
Macedo
Machado
Madeira
Madureira
Magalhães
Maia
Malheiro
Maltez
Manuel
Marcelino
Margarido
Mariano
Marinho
Marques
Marques
Marta
Martinho
Martins
Martins
Mascarenhas
Matias
Matos
Maurício
Maximiano
Medeiros
Meireles
Mello
Melo
Mendes
Mendonça
Meneses
Menezes
Mercês
Mesquita
Mexia
Miguel
Mil-Homens
Minas
Mira
Miranda
Moita
Moleiro
Moniz
Monteiro
Montez
Morais
Morato
Moreira
Moreira
Mota
Mourão
Moutinho
Múrias
Narciso
Natal
Nazaré
Neiva
Neto
Neves
Nicolau
Nogueira
Noronha
Novo
Nunes
Nélson
Oliveira
Oliveira
Ornelas
Ourique
Pacheco
Pais
Paisana
Paiva
Paixão
Palhares
Paranhos
Pascoal
Patrício
Paula
Pedro
Pegado
Peixoto
Pelicano
Peralta
Perdigão
Pereira
Perestrelo
Pessanha
Pestana
Piloto
Pimenta
Pimentel
Pina
Pinheiro
Pinho
Pinto
Pires
Pires
Poiares
Policarpo
Pombo
Portela
Porto
Prado
Pratas
Queirós
Quental
Querido
Quintal
Quintanilha
Quintas
Quintino
Quintão
Ramalho
Ramos
Raposeiro
Raposo
Real
Rebelo
Regalado
Reis
Relvas
Remígio
Rendeiro
Resende
Ribeira
Ribeiro
Riscado
Robalo
Rocha
Rodrigues
Romão
Rosa
Rosado
Rosário
Ruela
Ruivo
Sabino
Sacramento
Saldanha
Sales
Salgueiro
Salvador
Sampaio
Sanches
Santa
Santana
Santiago
Santo
Santos
Saramago
Sequeira
Serra
Silva
Simões
Soares
Sousa
Sá
Tavares
Teixeira
Teles
Torres
Trindade
Valente
Varela
Vasconcelos
Vaz
Veiga
Ventura
Viana
Vicente
Vieira
Vilhena
Xavier
