Name
Adeline
Agathe
Alice
Amandine
Anaïs
Andréa
Angèle
Angélique
Anna
Anne
Anouk
Audrey
Aurélie
Axelle
Camille
Carla
Caroline
Catherine
Cécile
Célia
Chloé
Christine
Claire
Clara
Claudia
Clémence
Clothilde
Coralie
Constance
Cynthia
Delphine
Diane
Eleonore
Elisa
Elisabeth
Ella
Elodie
Elsa
Emilie
Emma
Emmanuelle
Estelle
Eva
Eve
Fanny
Florence
Flora
Garance
Gaëlle
Geraldine
Hélène
Inès
Isabelle
Jade
Jeanne
Jennifer
Jessica
Joséphine
Julia
Julie
Juliette
Justine
Laetitia
Laura
Laurence
Lea
Lena
Léa
Lilou
Lise
Livia
Loane
Louise
Lucie
Ludivine
Maelis
Maelle
Maëlys
Manon
Margaux
Margot
Maria
Marianne
Marie
Marine
Marion
Marlène
Mathilde
Maud
Melissa
Mia
Micheline
Mireille
Morgane
Muriel
Myriam
Nathalie
Ninon
Noémie
Océane
Olivia
Patricia
Pauline
Perrine
Philippine
Rachel
Raphaëlle
Romane
Rosalie
Sabrina
Salomé
Sandra
Sarah
Sixtine
Solène
Sophie
Stéphanie
Suzanne
Sylvie
Valentine
Valérie
Victoire
Victoria
Violette
Virginie
Zoé
